Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	cuentaa	#	2	2	1.0
así	que	no	2	9	0.2222222222222222
no	me	ha	2	25	0.08
$	cuál	es	2	3	0.6666666666666666
cuál	es	tu	2	2	1.0
favorita	?	#	2	2	1.0
$	tho	#	2	2	1.0
$	pero	en	2	57	0.03508771929824561
la	que	más	2	4	0.5
tiene	?	#	2	2	1.0
que	tienes	en	2	6	0.3333333333333333
con	la	mejor	2	4	0.5
A	mí	me	2	5	0.4
$	Pero	creo	2	34	0.058823529411764705
Pero	creo	que	2	2	1.0
la	profesora	#	2	4	0.5
$	eso	es	2	8	0.25
que	voy	a	2	2	1.0
va	a	ser	2	17	0.11764705882352941
que	vas	a	2	2	1.0
vas	a	visitar	2	14	0.14285714285714285
tu	casa	#	2	3	0.6666666666666666
la	foto	de	2	4	0.5
la	he	visto	2	3	0.6666666666666666
$	tengo	que	2	6	0.3333333333333333
tengo	que	verla	2	8	0.25
que	verla	#	2	2	1.0
a	ver	si	2	15	0.13333333333333333
uno	de	estos	2	6	0.3333333333333333
de	estos	días	2	4	0.5
$	it	#	2	2	1.0
te	fue	?	2	3	0.6666666666666666
,	los	profes	2	2	1.0
y	me	dijo	2	11	0.18181818181818182
$	jijo	#	2	3	0.6666666666666666
me	da	miedo	2	11	0.18181818181818182
$	y	si	2	50	0.04
y	si	no	2	2	1.0
para	que	me	2	10	0.2
$	la	ultima	2	22	0.09090909090909091
que	me	lo	2	36	0.05555555555555555
$	Y	si	2	26	0.07692307692307693
Buenas	noches	#	2	3	0.6666666666666666
la	ilusión	de	2	2	1.0
con	eso	de	2	3	0.6666666666666666
,	acabo	de	2	2	1.0
acabo	de	despertar	2	6	0.3333333333333333
como	te	sientes	2	8	0.25
$	va	#	2	4	0.5
$	voy	a	2	3	0.6666666666666666
de	que	se	2	37	0.05405405405405406
a	perder	#	2	4	0.5
$	en	teoría	2	25	0.08
le	va	a	2	3	0.6666666666666666
me	dices	que	2	3	0.6666666666666666
mal	?	#	2	2	1.0
$	hmmm	,	2	7	0.2857142857142857
yo	?	#	2	2	1.0
$	jsjsj	#	2	2	1.0
cuando	regresemos	a	2	3	0.6666666666666666
como	se	llama	2	7	0.2857142857142857
$	hoy	no	2	3	0.6666666666666666
nada	👍	🏻	2	2	1.0
ver	?	#	2	2	1.0
da	flojera	#	2	3	0.6666666666666666
$	en	tu	2	25	0.08
se	va	a	2	2	1.0
$	he	real	2	5	0.4
he	real	cute	2	2	1.0
real	cute	#	2	2	1.0
ya	le	pusiste	2	2	1.0
$	yo	creo	2	45	0.044444444444444446
que	crees	que	2	3	0.6666666666666666
