Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
la	que	4	284	0.014084507042253521
que	?	4	696	0.005747126436781609
siempre	he	4	19	0.21052631578947367
y	eso	4	191	0.020942408376963352
chale	#	4	8	0.5
linea	#	4	6	0.6666666666666666
cual	es	4	10	0.4
a	poner	4	359	0.011142061281337047
$	las	4	3186	0.0012554927809165098
$	ese	4	3186	0.0012554927809165098
ve	que	4	14	0.2857142857142857
$	hay	4	3186	0.0012554927809165098
un	montón	4	108	0.037037037037037035
$	be	4	3186	0.0012554927809165098
$	Ojalá	4	3186	0.0012554927809165098
con	que	4	81	0.04938271604938271
u	#	4	30	0.13333333333333333
y	a	4	191	0.020942408376963352
Y	eso	4	26	0.15384615384615385
la	pandemia	4	284	0.014084507042253521
en	una	4	240	0.016666666666666666
estuvo	#	4	10	0.4
,	como	4	525	0.007619047619047619
me	han	4	304	0.013157894736842105
$	quieres	4	3186	0.0012554927809165098
más	que	4	72	0.05555555555555555
momento	#	4	7	0.5714285714285714
da	miedo	4	26	0.15384615384615385
con	mis	4	81	0.04938271604938271
$	nice	4	3186	0.0012554927809165098
$	solamente	4	3186	0.0012554927809165098
se	les	4	139	0.02877697841726619
lo	tengo	4	146	0.0273972602739726
$	estás	4	3186	0.0012554927809165098
chill	#	4	7	0.5714285714285714
todo	#	4	33	0.12121212121212122
,	así	4	525	0.007619047619047619
a	tu	4	359	0.011142061281337047
crees	que	4	6	0.6666666666666666
eso	es	4	54	0.07407407407407407
empezar	a	4	7	0.5714285714285714
$	va	4	3186	0.0012554927809165098
de	perfil	4	499	0.008016032064128256
ver	si	4	38	0.10526315789473684
de	estos	4	499	0.008016032064128256
a	ir	4	359	0.011142061281337047
mejor	#	4	25	0.16
juego	#	4	9	0.4444444444444444
buena	onda	4	18	0.2222222222222222
te	lo	4	158	0.02531645569620253
ahorita	?	4	18	0.2222222222222222
que	tiene	4	696	0.005747126436781609
me	cuentas	4	304	0.013157894736842105
$	cual	4	3186	0.0012554927809165098
ya	tienes	4	126	0.031746031746031744
eso	,	4	54	0.07407407407407407
fin	de	4	5	0.8
$	Para	4	3186	0.0012554927809165098
a	dar	4	359	0.011142061281337047
día	de	4	23	0.17391304347826086
tiempo	#	4	19	0.21052631578947367
$	ay	4	3186	0.0012554927809165098
yo	también	4	86	0.046511627906976744
hace	poco	4	29	0.13793103448275862
$	mucho	4	3186	0.0012554927809165098
igual	#	4	16	0.25
$	cuanto	4	3186	0.0012554927809165098
cuenta	de	4	10	0.4
tiempo	de	4	19	0.21052631578947367
si	se	4	72	0.05555555555555555
$	para	4	3186	0.0012554927809165098
como	ves	4	93	0.043010752688172046
de	acuerdo	4	499	0.008016032064128256
decir	que	4	11	0.36363636363636365
y	te	4	191	0.020942408376963352
regreso	a	4	7	0.5714285714285714
$	Nice	4	3186	0.0012554927809165098
hiciste	hoy	4	6	0.6666666666666666
,	Andrea	4	525	0.007619047619047619
,	gracias	4	525	0.007619047619047619
va	?	4	33	0.12121212121212122
$	gracias	4	3186	0.0012554927809165098
supongo	que	4	4	1.0
bastante	que	4	47	0.0851063829787234
ve	bonito	4	14	0.2857142857142857
que	veo	4	696	0.005747126436781609
$	cómo	4	3186	0.0012554927809165098
tal	tú	4	58	0.06896551724137931
$	vas	4	3186	0.0012554927809165098
a	comer	4	359	0.011142061281337047
comer	#	4	9	0.4444444444444444
que	todo	4	696	0.005747126436781609
,	o	4	525	0.007619047619047619
escuela	?	4	24	0.16666666666666666
sueños	#	4	11	0.36363636363636365
cecyt	#	4	7	0.5714285714285714
no	la	4	341	0.011730205278592375
$	Cuando	4	3186	0.0012554927809165098
$	algo	4	3186	0.0012554927809165098
:p	#	4	4	1.0
servicio	#	3	6	0.5
el	servicio	3	224	0.013392857142857142
😎	#	3	3	1.0
nada	más	3	31	0.0967741935483871
algo	más	3	46	0.06521739130434782
para	el	3	83	0.03614457831325301
el	rostro	3	224	0.013392857142857142
me	veo	3	304	0.009868421052631578
a	pensar	3	359	0.008356545961002786
que	realmente	3	696	0.004310344827586207
no	los	3	341	0.008797653958944282
son	muy	3	23	0.13043478260869565
Realmente	no	3	4	0.75
en	general	3	240	0.0125
hay	que	3	30	0.1
En	la	3	17	0.17647058823529413
hace	mucho	3	29	0.10344827586206896
mucho	que	3	47	0.06382978723404255
tiempo	en	3	19	0.15789473684210525
ni	una	3	13	0.23076923076923078
normal	#	3	5	0.6
semana	en	3	22	0.13636363636363635
música	#	3	9	0.3333333333333333
he	escuchado	3	47	0.06382978723404255
$	También	3	3186	0.0009416195856873823
,	bastante	3	525	0.005714285714285714
que	si	3	696	0.004310344827586207
final	#	3	8	0.375
,	thx	3	525	0.005714285714285714
muy	pocas	3	65	0.046153846153846156
de	estar	3	499	0.006012024048096192
casi	no	3	12	0.25
