Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
sí	lo	2	16	0.125
lo	hago	2	74	0.02702702702702703
te	doy	2	74	0.02702702702702703
los	equipos	2	27	0.07407407407407407
base	de	2	2	1.0
de	datos	2	157	0.012738853503184714
datos	,	2	2	1.0
como	se	2	25	0.08
el	día	2	127	0.015748031496062992
se	va	2	43	0.046511627906976744
a	como	2	119	0.01680672268907563
9	#	2	2	1.0
saber	q	2	2	1.0
un	rato	2	20	0.1
$	acaba	2	1206	0.001658374792703151
acaba	de	2	2	1.0
no	le	2	161	0.012422360248447204
digas	así	2	2	1.0
usaste	?	2	2	1.0
de	nada	2	157	0.012738853503184714
ledesma	?	2	2	1.0
$	hmmm	2	1206	0.001658374792703151
hmmm	#	2	2	1.0
y	todo	2	65	0.03076923076923077
todo	por	2	15	0.13333333333333333
por	el	2	22	0.09090909090909091
pero	no	2	44	0.045454545454545456
que	tu	2	211	0.009478672985781991
machine	#	2	3	0.6666666666666666
$	redes	2	1206	0.001658374792703151
redes	2	2	3	0.6666666666666666
parece	#	2	7	0.2857142857142857
a	alguien	2	119	0.01680672268907563
bien	que	2	25	0.08
yo	y	2	29	0.06896551724137931
no	creo	2	161	0.012422360248447204
otra	vez	2	6	0.3333333333333333
punto	de	2	2	1.0
de	las	2	157	0.012738853503184714
único	que	2	3	0.6666666666666666
$	con	2	1206	0.001658374792703151
amos	#	2	3	0.6666666666666666
mi	?	2	25	0.08
para	platicar	2	38	0.05263157894736842
al	repo	2	39	0.05128205128205128
repo	de	2	3	0.6666666666666666
$	quiero	2	1206	0.001658374792703151
ya	voy	2	73	0.0273972602739726
te	salieron	2	74	0.02702702702702703
las	bolas	2	33	0.06060606060606061
bolas	#	2	2	1.0
8	#	2	2	1.0
$	juega	2	1206	0.001658374792703151
juega	#	2	2	1.0
,	pues	2	76	0.02631578947368421
para	de	2	38	0.05263157894736842
de	mamar	2	157	0.012738853503184714
rato	te	2	10	0.2
$	ha	2	1206	0.001658374792703151
de	ser	2	157	0.012738853503184714
pq	no	2	15	0.13333333333333333
$	hay	2	1206	0.001658374792703151
2	en	2	6	0.3333333333333333
$	ajajajajaja	2	1206	0.001658374792703151
ajajajajaja	#	2	2	1.0
a	llevar	2	119	0.01680672268907563
a	ti	2	119	0.01680672268907563
$	pasa	2	1206	0.001658374792703151
emojis	#	2	2	1.0
así	?	2	11	0.18181818181818182
fue	el	2	4	0.5
ser	que	2	8	0.25
es	como	2	64	0.03125
después	de	2	4	0.5
,	que	2	76	0.02631578947368421
android	#	2	2	1.0
tu	tío	2	25	0.08
pues	si	2	26	0.07692307692307693
es	una	2	64	0.03125
sabes	#	2	4	0.5
ya	se	2	73	0.0273972602739726
era	de	2	8	0.25
y	nos	2	65	0.03076923076923077
para	ver	2	38	0.05263157894736842
te	paso	2	74	0.02702702702702703
las	4	2	33	0.06060606060606061
que	está	2	211	0.009478672985781991
la	fila	2	108	0.018518518518518517
fila	de	2	2	1.0
falta	#	2	14	0.14285714285714285
24	nuevos	2	2	1.0
$	👏	2	1206	0.001658374792703151
👏	🏻	2	2	1.0
$	luego	2	1206	0.001658374792703151
las	otras	2	33	0.06060606060606061
otras	cosas	2	3	0.6666666666666666
hoy	#	2	8	0.25
como	sea	2	25	0.08
que	sea	2	211	0.009478672985781991
pasa	lista	2	3	0.6666666666666666
lista	we	2	4	0.5
bien	gato	2	25	0.08
mal	plan	2	11	0.18181818181818182
plan	#	2	2	1.0
nah	we	2	3	0.6666666666666666
a	tener	2	119	0.01680672268907563
tener	que	2	2	1.0
que	hacer	2	211	0.009478672985781991
$	porque	2	1206	0.001658374792703151
al	Emilio	2	39	0.05128205128205128
al	ada	2	39	0.05128205128205128
y	te	2	65	0.03076923076923077
